id,price_percent,participants
254328,97.54145219148957,1
254336,90.65460287807366,4
254360,85.60018375138137,4
254371,99.54400341267956,0
254383,99.24236966398432,1
254384,82.76798266682374,5
254410,98.96465879508857,1
254416,89.51506014137651,3
254418,81.8402620570763,4
254419,94.88332538177198,3
254422,97.0790325601216,2
254424,91.77224222595241,3
254458,98.24992869316084,1
254464,93.95950415618002,2
254475,94.80422334701474,2
254478,90.58108017967291,2
254481,88.46078860600737,4
254485,90.23292519741982,4
254490,96.00972468595646,2
254494,86.51788246073441,5
254503,97.44894260040965,2
254509,93.83663205470737,3
254521,85.79904383607506,3
254522,93.06070109446787,2
254532,81.61052362536513,4
254538,92.37027395267603,4
254546,85.53687657667189,4
254555,88.42966775937433,3
254565,96.31220706483015,3
254567,87.84902927768815,4
254588,97.56408095107817,2
254595,90.34013121724854,3
254598,96.8724043599361,3
254606,92.95058204749576,3
254615,99.99765452157942,2
254622,97.65524512370651,2
254625,93.95818022270674,3
254626,96.2303279348589,2
254627,99.04642004593293,1
254630,99.57835210196633,1
254633,97.51785413693354,2
254640,96.39033917139447,2
254648,100.62771602917131,1
254657,82.92602696357008,4
254670,98.38914382960783,1
254677,96.11039030110558,2
254700,96.62938932238072,2
254703,66.2792208401821,8
254705,95.88788721683194,2
254709,89.13091845231163,3
254715,99.40901707363588,1
254724,65.25417860095943,6
254728,100.68831157889795,1
254740,95.19370876441833,2
254742,91.5006899987079,3
254755,98.52292866598627,2
254770,67.11274566559588,5
254780,82.48750884676824,5
254783,99.11437107706374,1
254796,83.51709046386965,4
254797,91.61215975033087,4
254801,95.72670671231286,2
254804,93.71748402276113,2
254806,98.49488926549192,1
254815,86.52399497213186,3
254816,100.85404569814982,0
254834,87.76033459314176,4
254842,93.16488647831976,2
254845,94.93751863480172,2
254846,97.51801903983963,2
254850,97.84030807014128,1
254854,89.46271836313127,3
254855,98.8659371493892,2
254879,91.1983108162114,3
254880,97.80634468029878,2
254883,85.4694553435861,4
254887,76.89440386337924,5
254890,94.27141076371876,2
254900,99.43525251475516,0
254904,97.45426660393396,2
254920,96.4753961422831,2
254923,97.81153434468104,2
254926,66.20136682098338,5
254933,90.06450678398734,3
254938,100.00448513265965,1
254949,98.91590420725451,2
254950,99.75708351303994,1
254961,95.36457046279263,2
254967,99.14012668342177,1
254977,90.3516039055542,4
254981,88.65162252277133,3
254986,88.7553333054359,2
254998,98.66930645755494,1
255000,81.43976068601245,5
255004,64.85177108906295,9
255008,91.50780183186032,3
255015,92.77446321675829,3
255017,99.56786211163458,1
255018,98.25226463663986,1
255020,99.33813213227508,2
255022,85.87533529585706,4
255023,99.73196165340923,1
255027,80.97884273793991,4
255028,93.6144529112729,3
255035,84.96168013281171,3
255044,83.26516461840444,6
255046,97.42532932040872,2
255047,91.91478378258103,2
255051,90.74045379064884,3
255058,100.59094873959285,1
255059,97.06227122058657,2
255064,91.85845181204081,3
255067,87.31596819300844,3
255071,88.52668509022584,5
255072,99.5007441333351,2
255073,83.24216998701999,4
255087,92.50819502466301,3
255096,92.38809574648468,3
255098,89.37140562384795,5
255100,78.73115828790205,5
255103,81.66093870009584,3
255106,98.5376709688814,2
255107,86.42578972085909,4
255120,98.72800292320024,1
255129,96.34794299071967,2
255145,92.77871856519747,3
255156,97.23447727401559,3
255159,99.48884241068696,2
255161,85.64452538444954,4
255162,85.38453233693897,4
255167,98.92272431627734,2
255177,93.45732426683092,3
